
Aleatorio
Tamano;Burbuja;Burbuja Mejorado;Inserción;Shell;Merge;Quick
5000;79494800;938200;38739800;6580900;7771600;13819100
10000;438236200;1677600;59341700;5133600;2623500;31653100
15000;1247987500;1796600;131608000;6435300;3935600;4581300
20000;2189983200;2342900;258420000;5208400;8661300;3991800
25000;2698861300;2029200;253922200;4976600;6163900;21102600
30000;3479778200;1299400;389475600;6082800;6884100;5354500
35000;4989453500;956100;513178200;8081400;10378200;4383900
40000;6187244200;648800;707249100;11931800;7588200;4606200
45000;7880602300;646400;951736700;10936500;12044600;4613500
50000;8377752400;1732800;1610022500;31259700;15341500;8891500

Ascendente
Tamano;Burbuja;Burbuja Mejorado;Inserción;Shell;Merge;Quick
5000;44183500;17800;36700;257500;460100;57600
10000;203149800;33900;58700;1015100;5667900;446200
15000;369546500;30400;91400;440600;1116100;353000
20000;635652300;48900;120300;768300;1820200;225400
25000;1066568800;87500;234100;1763100;1923100;524900
30000;1557081000;82900;175600;1565700;2487200;660400
35000;2278787400;139400;137400;1450600;2539900;505700
40000;2912080500;151200;337000;3888600;5903600;589800
45000;3238269900;123600;324000;3964200;6116000;1579500
50000;5295209800;560100;301700;2767700;7464500;1385800

Descendente
Tamano;Burbuja;Burbuja Mejorado;Inserción;Shell;Merge;Quick
5000;27217400;84400;31725000;300300;343200;339800
10000;96209800;2019000;152402900;664400;8706200;547000
15000;230936200;248400;259052000;960800;1054000;489600
20000;309913500;217400;300960900;716500;1847100;659000
25000;377244300;293800;448737700;1581800;2203200;926900
30000;549326400;382900;647528400;1331600;3135900;1650000
35000;766300900;339200;864349100;1299700;2480500;1382200
40000;1004802400;330000;1224060000;2050600;2655200;3105200
45000;1301194400;412300;1521021700;4890800;6396700;2162100
50000;1968357400;682400;2155141800;4191900;5753000;2055800
